"","AnimalID","TestSite","Mouse.Strain","Genotype","Sex","Age.Months","Task","Day"
"151","lw356a418","Site1","APP-PS1","C57BL6","Male","4","Phase I",1
"152","lw357a419","Site1","APP-PS1","C57BL6","Male","4","Phase I",1
"153","lw358a420","Site1","APP-PS1","C57BL6","Male","4","Phase I",1
"154","lw359a421","Site1","APP-PS1","C57BL6","Male","4","Phase I",2
"155","lw360a422","Site1","APP-PS1","C57BL6","Male","4","Phase I",1
"156","lw361a423","Site1","APP-PS1","C57BL6","Male","4","Phase I",1
"157","lw362a424","Site1","APP-PS1","C57BL6","Male","4","Phase I",1
"158","lw363a425","Site1","APP-PS1","C57BL6","Male","4","Phase I",1
"159","lw364a426","Site1","APP-PS1","C57BL6","Male","4","Phase I",1
"160","lw365a427","Site1","APP-PS1","C57BL6","Male","4","Phase I",1
"161","lw366a428","Site1","APP-PS1","C57BL6","Male","4","Phase I",1
"162","gt80x171","Site2","3xTG-AD","3xTG-AD","Female","4","Phase II",1
"163","gt80x172","Site2","3xTG-AD","3xTG-AD","Female","4","Phase II",1
"164","gt80x173","Site2","3xTG-AD","3xTG-AD","Female","4","Phase II",1
"165","gt81x175","Site2","3xTG-AD","3xTG-AD","Female","4","Phase II",1
"166","gt81x176","Site2","3xTG-AD","3xTG-AD","Female","4","Phase II",1
"167","gt81x177","Site2","3xTG-AD","3xTG-AD","Female","4","Phase II",1
"168","gt81x178","Site2","3xTG-AD","3xTG-AD","Female","4","Phase II",1
"169","gt82x179","Site2","3xTG-AD","3xTG-AD","Female","4","Phase II",1
"170","gt82x180","Site2","3xTG-AD","3xTG-AD","Female","4","Phase II",1
"171","gt82x181","Site2","3xTG-AD","3xTG-AD","Female","4","Phase II",1
"172","gt82x182","Site2","3xTG-AD","3xTG-AD","Female","4","Phase II",1
"173","gt104f216","Site2","5xFAD","5xFAD","Female","4","Phase II",1
"174","gt104f217","Site2","5xFAD","5xFAD","Female","4","Phase II",1
"175","gt104f218","Site2","5xFAD","5xFAD","Female","4","Phase II",1
"176","gt104f219","Site2","5xFAD","5xFAD","Female","4","Phase II",1
"177","gt105f220","Site2","5xFAD","5xFAD","Female","4","Phase II",1
"178","gt105f221","Site2","5xFAD","5xFAD","Female","4","Phase II",1
"179","gt105f222","Site2","5xFAD","5xFAD","Female","4","Phase II",1
"180","gt105f223","Site2","5xFAD","5xFAD","Female","4","Phase II",1
"181","gt106f224","Site2","5xFAD","5xFAD","Female","4","Phase II",1
"182","gt106f225","Site2","5xFAD","5xFAD","Female","4","Phase II",1
"183","gt106f227","Site2","5xFAD","5xFAD","Female","4","Phase II",1
"184","gt107f228","Site2","5xFAD","5xFAD","Female","4","Phase II",1
"185","gt107f229","Site2","5xFAD","5xFAD","Female","4","Phase II",1
"186","gt107f230","Site2","5xFAD","5xFAD","Female","4","Phase II",1
"187","gt107f231","Site2","5xFAD","5xFAD","Female","4","Phase II",1
"188","gt160a361","Site2","APP-PS1","APPPS1","Female","4","Phase II",1
"189","gt161a362","Site2","APP-PS1","APPPS1","Female","4","Phase II",1
"190","gt161a363","Site2","APP-PS1","APPPS1","Female","4","Phase II",1
"191","gw77x159","Site2","3xTG-AD","B6129SF2/J","Female","4","Phase II",1
"192","gw77x160","Site2","3xTG-AD","B6129SF2/J","Female","4","Phase II",1
"193","gw77x161","Site2","3xTG-AD","B6129SF2/J","Female","4","Phase II",1
"194","gw78x163","Site2","3xTG-AD","B6129SF2/J","Female","4","Phase II",1
"195","gw78x164","Site2","3xTG-AD","B6129SF2/J","Female","4","Phase II",1
"196","gw78x165","Site2","3xTG-AD","B6129SF2/J","Female","4","Phase II",1
"197","gw78x166","Site2","3xTG-AD","B6129SF2/J","Female","4","Phase II",1
"198","gw79x167","Site2","3xTG-AD","B6129SF2/J","Female","4","Phase II",1
"199","gw79x168","Site2","3xTG-AD","B6129SF2/J","Female","4","Phase II",1
"200","gw79x169","Site2","3xTG-AD","B6129SF2/J","Female","4","Phase II",1
"201","gw100f200","Site2","5xFAD","B6SJLF1/J","Female","4","Phase II",1
"202","gw100f201","Site2","5xFAD","B6SJLF1/J","Female","4","Phase II",1
"203","gw100f202","Site2","5xFAD","B6SJLF1/J","Female","4","Phase II",1
"204","gw100f203","Site2","5xFAD","B6SJLF1/J","Female","4","Phase II",1
