"","Database","AnimalID","TestSite","Mouse.Strain","Genotype","Sex","Age.Months","Stimulus.Length","Date","Day","Condition","Trials","Accuracy.Block.1","Accuracy.Block.2","Accuracy.Block.3","Accuracy.Block.4","Accuracy.Block.5","Omission.Block.1","Omission.Block.2","Omission.Block.3","Omission.Block.4","Omission.Block.5"
"43","LON5CAPP10MF","lt200a262","Site1","APP-PS1","APPPS1","Female","10","0.6",2016-02-24,NA,1448.1365,50,70,81.6,78.6,76.2,77.15,50,32.5,30,31.25,30
"44","LON5CAPP10MF","lt204a266","Site1","APP-PS1","APPPS1","Female","10","0.6",2016-03-03,NA,2585.914,50,50,58.35,70,72.65,74.9,70,65,58.3335,56.25,57
"45","LON5CAPP10MF","lt207a269","Site1","APP-PS1","APPPS1","Female","10","0.6",2016-03-03,NA,1283.13,50,56.65,72.8,78.95,79.2,77.6,20,15,18.3335,25,32
"46","LON5CAPP10MF","lt211a273","Site1","APP-PS1","APPPS1","Female","10","0.6",2016-02-24,NA,1935.4815,50,63.35,70,64.95,69.05,65.9,60,50,38.3335,40,39
"47","LON5CAPP10MF","lt212a274","Site1","APP-PS1","APPPS1","Female","10","0.6",2016-02-18,NA,1617.4195,50,81.25,79.45,72.35,72.45,70.1,25,25,38.333,36.25,36
"48","GUE5CAPP10MF","gt115a253","Site2","APP-PS1","APPPS1","Female","10","0.6",2016-02-27,NA,1172.764,50,87.85,88.55,80.75,78.45,77.85,15,10,13.333,18.75,23
"49","GUE5CAPP10MF","gt117a263","Site2","APP-PS1","APPPS1","Female","10","0.6",2016-02-22,NA,1312.1015,50,74.6,83.75,80.65,77.55,77.45,20,20,13.3335,11.25,11
"50","GUE5CAPP10MF","gt172a401","Site2","APP-PS1","APPPS1","Female","10","0.6",2016-10-13,NA,2101.7745,50,63.35,73.85,63.95,69.15,77.05,60,52.5,58.333,56.25,53
"51","GUE5CAPP10MF","gt172a402","Site2","APP-PS1","APPPS1","Female","10","0.6",2016-09-26,NA,2049.0415,50,68.75,81.95,76.1,80.65,79.75,20,20,23.3335,22.5,26
"52","LON5C3XTG10MF","lw15x030","Site1","3xTG-AD","B6129SF2/J","Female","10","0.6",2014-10-04,NA,1441.074,50,58.35,78.2,80.3,80.8,78.55,50,42.5,43.3335,37.5,34
"53","LON5C3XTG10MF","lw16x031","Site1","3xTG-AD","B6129SF2/J","Female","10","0.6",2014-10-15,NA,1111.2795,50,75,70.7,64.95,62.75,61,20,22.5,25,23.75,21
"54","LON5C3XTG10MF","lw16x032","Site1","3xTG-AD","B6129SF2/J","Female","10","0.6",2014-10-22,NA,1206.725,50,92.85,89.3,87.7,90.6,90.45,45,37.5,35,35,37
"55","LON5C3XTG10MF","lw19x037","Site1","3xTG-AD","B6129SF2/J","Female","10","0.6",2014-09-29,NA,1231.6845,50,65.9,71.9,66.9,68.65,66.45,20,20,28.3335,35,35
"56","LON5C3XTG10MF","lw19x038","Site1","3xTG-AD","B6129SF2/J","Female","10","0.6",2014-10-04,NA,1152.035,50,57.5,63.45,65.4,64.95,67.3,35,42.5,45,45,47
"57","LON5C3XTG10MF","lw20x039","Site1","3xTG-AD","B6129SF2/J","Female","10","0.6",2014-10-15,NA,1631.594,50,83.35,80.1,83.15,77.15,75.2,10,12.5,11.6665,12.5,20
"58","LON5C3XTG10MF","lw23x046","Site1","3xTG-AD","B6129SF2/J","Female","10","0.6",2014-10-04,NA,2272.364,50,55.55,71.95,68.95,64.7,63,25,25,21.6665,22.5,27
"59","LON5C3XTG10MF","lw24x047","Site1","3xTG-AD","B6129SF2/J","Female","10","0.6",2014-10-15,NA,1032.32,50,79.15,83.95,86.5,85.65,85.35,30,22.5,16.667,13.75,12
"60","LON5C3XTG10MF","lw24x048","Site1","3xTG-AD","B6129SF2/J","Female","10","0.6",2014-10-22,NA,1367.2605,50,50,65.7,74.2,75.35,73.6,50,40,35,28.75,32
"61","GUE5C3XTG10MF","gw01x001","Site2","3xTG-AD","B6129SF2/J","Female","10","0.6",2014-10-01,NA,2109.5495,50,83.35,91.65,86.35,83.95,81.25,70,70,66.6665,67.5,68
"62","GUE5C3XTG10MF","gw04x006","Site2","3xTG-AD","B6129SF2/J","Female","10","0.6",2014-10-14,NA,1718.901,50,78.55,89.3,88.9,88,87.95,50,45,51.6665,51.25,54
"63","GUE5C3XTG10MF","gw05x007","Site2","3xTG-AD","B6129SF2/J","Female","10","0.6",2014-10-20,NA,1264.8035,50,77.1,68.05,69.6,73.3,67.2,15,15,23.333,26.25,28
"64","GUE5C3XTG10MF","gw05x008","Site2","3xTG-AD","B6129SF2/J","Female","10","0.6",2014-10-01,NA,1058.419,50,81.25,86.65,90.5,92.85,94.3,30,30,26.6665,26.25,26
"65","GUE5C3XTG10MF","gw06x009","Site2","3xTG-AD","B6129SF2/J","Female","10","0.6",2014-10-13,NA,2049.088,50,71.65,67.35,63.9,64.85,65.2,20,32.5,30,25,31
