"","Database","AnimalID","TestSite","Mouse.Strain","Genotype","Sex","Age.Months","Stimulus.Length","Date","Day","Condition","Trials","Accuracy.Block.1","Accuracy.Block.2","Accuracy.Block.3","Accuracy.Block.4","Accuracy.Block.5","Omission.Block.1","Omission.Block.2","Omission.Block.3","Omission.Block.4","Omission.Block.5"
"82","LON5C5FAD10MF","lw46f092","Site1","5xFAD","B6SJLF1/J","Female","10","0.6",2014-11-24,NA,1699.0335,50,65.42,69.16,61.96,58.905,60.29,29.2897,9.86075,7.94485,11.29905,12.93285
"83","GUE5C5FAD10MF","gw01f002","Site2","5xFAD","B6SJLF1/J","Female","10","0.6",2014-11-03,NA,2902.2725,49.5,55.355,56.41,73.76,75.23,76.5427777777778,29.732,46.41665,40.703,45.0056,46.7621833333333
"84","GUE5C5FAD10MF","gw02f003","Site2","5xFAD","B6SJLF1/J","Female","10","0.6",2014-11-08,NA,1635.757,50,69.47,65.87,63.545,63.495,64.255,7.14485,11.72745,20.8852,26.38375,25.3067
"85","GUE5C5FAD10MF","gw03f005","Site2","5xFAD","B6SJLF1/J","Female","10","0.6",2014-11-03,NA,1871.4545,50,38.5,57.56,64.995,64.47,65.47,46.04355,40.4229,38.4221,38.3715,32.9299
"86","GUE5C5FAD10MF","gw03f006","Site2","5xFAD","B6SJLF1/J","Female","10","0.6",2014-11-08,NA,3183.743,48.5,77.77,68.415,65.795,60.315,52.6628571428571,21.30945,39.26655,55.42915,59.2474,58.4819071428571
"87","GUE5C5FAD10MF","gw04f007","Site2","5xFAD","B6SJLF1/J","Female","10","0.6",2014-11-13,NA,1708.725,50,55.005,80.075,80.3,75.73,74.905,70.56155,50.6245,49.293,48.13555,48.31465
"88","GUE5C5FAD10MF","gw04f008","Site2","5xFAD","B6SJLF1/J","Female","10","0.6",2014-11-19,NA,1605.2895,50,33.825,56.71,69.325,75.61,72.5,24.996,25.45895,22.96275,20.61885,22.3918
"89","GUE5C5FAD10MF","gw05f009","Site2","5xFAD","B6SJLF1/J","Female","10","0.6",2014-11-08,NA,2210.7865,50,69.085,81.755,77.475,73.185,71.73,48.7936,40.6481,43.1302,40.7059,38.2924
"90","GUE5C5FAD10MF","gw05f010","Site2","5xFAD","B6SJLF1/J","Female","10","0.6",2014-11-13,NA,2071.6655,50,73.66,78.065,78.27,77.12,73.29,18.09525,10.0316,6.1254,11.2745,12.61
"91","LON5CAPP10MF","lw185a247","Site1","APP-PS1","C57BL6","Female","10","0.6",2016-03-09,NA,1640.3705,50,82.865,92.055,87.595,81.495,80.75,36.80945,41.35695,39.26915,42.7392,47.5701
"92","LON5CAPP10MF","lw186a248","Site1","APP-PS1","C57BL6","Female","10","0.6",2016-02-24,NA,1448.312,50,57.645,74.365,75.14,79.52,78.15,9.55355,20.8384,38.70525,42.5718,40.76415
"93","LON5CAPP10MF","lw189a251","Site1","APP-PS1","C57BL6","Female","10","0.6",2016-03-03,NA,1402.4865,50,68.925,70.91,75.97,77.705,79.415,62.25795,56.25185,51.2348,48.56815,42.00595
"94","LON5CAPP10MF","lw190a252","Site1","APP-PS1","C57BL6","Female","10","0.6",2016-03-09,NA,1588.5515,50,95,93.825,90.915,87.75,88.22,61.5319,57.90135,61.466,62.6546,63.4114
"95","LON5CAPP10MF","lw193a255","Site1","APP-PS1","C57BL6","Female","10","0.6",2016-02-24,NA,1581.387,50,81.505,75.945,76.385,77.085,78.03,58.79765,55.3619,59.0392,59.80755,60.2109
"96","LON5CAPP10MF","lw194a256","Site1","APP-PS1","C57BL6","Female","10","0.6",2016-03-03,NA,1393.6085,50,61.415,69.515,74.745,76.14,75.025,39.2995,36.2095,36.2425,38.3357,35.57545
"97","LON5CAPP10MF","lw198a260","Site1","APP-PS1","C57BL6","Female","10","0.6",2016-02-24,NA,1292.7755,50,60.27,80.54,81.72,79.195,77.18,16.6785,16.2648,13.5199,21.8038,23.94175
"98","LON5CAPP10MF","lw201a263","Site1","APP-PS1","C57BL6","Female","10","0.6",2016-02-18,NA,1707.913,50,52.42,62.645,56.975,56.96,55.24,43.29365,47.7553,51.7689,53.5268,53.1078
"99","LON5CAPP10MF","lw202a264","Site1","APP-PS1","C57BL6","Female","10","0.6",2016-02-24,NA,1965.9335,50,73.4,80.465,68.025,65.28,64.135,25.24605,21.5093,23.2856,28.60835,30.8014
"100","LON5CAPP10MF","lw206a268","Site1","APP-PS1","C57BL6","Female","10","0.6",2016-02-24,NA,1405.3125,50,44.63,76.86,84.805,84.74,86.06,38.17465,33.41685,33.23235,35.03305,31.91655
"101","LON5CAPP10MF","lw209a271","Site1","APP-PS1","C57BL6","Female","10","0.6",2016-03-05,NA,1362.7925,50,50.255,87.245,82.43,81.99,79.17,61.36505,41.9612,38.28185,42.2784,44.594
"102","LON5CAPP10MF","lw210a272","Site1","APP-PS1","C57BL6","Female","10","0.6",2016-02-18,NA,1376.6955,50,43.34,63.145,75.72,76.845,73.995,71.44255,64.4123,55.06025,53.64,50.0538
"103","LON5CAPP10MF","lw213a275","Site1","APP-PS1","C57BL6","Female","10","0.6",2016-02-18,NA,1755.31,50,75.25,83.95,82.36,83.4,84.055,35.4523,25.42495,26.3095,27.84415,29.0928
"104","GUE5CAPP10MF","gw108a232","Site2","APP-PS1","C57BL6","Female","10","0.6",2016-03-05,NA,1963.3045,50,51.92,76.655,71.25,69.995,70.515,76.3036,37.41285,27.1553,25.70975,23.40905
"105","GUE5CAPP10MF","gw108a233","Site2","APP-PS1","C57BL6","Female","10","0.6",2016-03-10,NA,1608.5535,50,78,74.84,70.515,72.255,69.865,55.0912,35.8995,30.7534,27.24195,27.48035
