"","AnimalID","TestSite","Mouse.Strain","Genotype","Sex","Age.Months","Stimulus.Length","Day"
"63","gt172a400","Site2","APP-PS1","APPPS1","Female","4","2",8
"64","gt172a401","Site2","APP-PS1","APPPS1","Female","4","2",3
"65","gt172a402","Site2","APP-PS1","APPPS1","Female","4","2",6
"66","gt172a403","Site2","APP-PS1","APPPS1","Female","4","2",7
"67","gt173a404","Site2","APP-PS1","APPPS1","Female","4","2",7
"68","gt173a406","Site2","APP-PS1","APPPS1","Female","4","2",4
"69","lw15x030","Site1","3xTG-AD","B6129SF2/J","Female","4","2",3
"70","lw16x031","Site1","3xTG-AD","B6129SF2/J","Female","4","2",3
"71","lw16x032","Site1","3xTG-AD","B6129SF2/J","Female","4","2",3
"72","lw19x037","Site1","3xTG-AD","B6129SF2/J","Female","4","2",6
"73","lw19x038","Site1","3xTG-AD","B6129SF2/J","Female","4","2",3
"74","lw20x039","Site1","3xTG-AD","B6129SF2/J","Female","4","2",25
"75","lw23x045","Site1","3xTG-AD","B6129SF2/J","Female","4","2",5
"76","lw23x046","Site1","3xTG-AD","B6129SF2/J","Female","4","2",7
"77","lw24x047","Site1","3xTG-AD","B6129SF2/J","Female","4","2",3
"78","lw24x048","Site1","3xTG-AD","B6129SF2/J","Female","4","2",7
"79","gw01x001","Site2","3xTG-AD","B6129SF2/J","Female","4","2",9
"80","gw04x006","Site2","3xTG-AD","B6129SF2/J","Female","4","2",17
"81","gw05x007","Site2","3xTG-AD","B6129SF2/J","Female","4","2",4
"82","gw05x008","Site2","3xTG-AD","B6129SF2/J","Female","4","2",3
"83","gw06x009","Site2","3xTG-AD","B6129SF2/J","Female","4","2",5
"84","gw07x010","Site2","3xTG-AD","B6129SF2/J","Female","4","2",3
"85","gw08x011","Site2","3xTG-AD","B6129SF2/J","Female","4","2",28
"86","gw58x097","Site2","3xTG-AD","B6129SF2/J","Female","4","2",6
"87","gw58x098","Site2","3xTG-AD","B6129SF2/J","Female","4","2",12
"88","gw58x099","Site2","3xTG-AD","B6129SF2/J","Female","4","2",12
"89","gw59x101","Site2","3xTG-AD","B6129SF2/J","Female","4","2",3
"90","gw59x102","Site2","3xTG-AD","B6129SF2/J","Female","4","2",13
"91","gw60x103","Site2","3xTG-AD","B6129SF2/J","Female","4","2",3
"92","gw60x104","Site2","3xTG-AD","B6129SF2/J","Female","4","2",1
"93","lw37f073","Site1","5xFAD","B6SJLF1/J","Female","4","2",11
