 Animal ID, Site, Mouse strain, Genotype, Gender,SessionType
 lt22x044, UWO, 3XTG, t,F,2
 lt22x044, UWO, 3XTG, t,F,2
 lt22x044, UWO, 3XTG, t,F,2
 lt22x044, UWO, 3XTG, t,F,2
 lt22x044, UWO, 3XTG, t,F,2
 lt22x044, UWO, 3XTG, t,F,2
 lt22x044, UWO, 3XTG, t,F,2
 lt22x044, UWO, 3XTG, t,F,2
 lt22x044, UWO, 3XTG, t,F,2
 lt22x044, UWO, 3XTG, t,F,2
 lt22x044, UWO, 3XTG, t,F,2
 lt22x044, UWO, 3XTG, t,F,2
 lt22x044, UWO, 3XTG, t,F,2
 lt22x044, UWO, 3XTG, t,F,2
 lt22x044, UWO, 3XTG, t,F,2
 lt22x044, UWO, 3XTG, t,F,2
 lt22x044, UWO, 3XTG, t,F,2
 lt22x044, UWO, 3XTG, t,F,2
 lt22x044, UWO, 3XTG, t,F,2
 lt22x044, UWO, 3XTG, t,F,2
